date,bdi
1999-Nov-01,1334 
1999-Nov-02,1320 
1999-Nov-03,1313 
1999-Nov-04,1301 
1999-Nov-05,1296 
1999-Nov-08,1297 
1999-Nov-09,1301 
1999-Nov-10,1311 
1999-Nov-11,1325 
1999-Nov-12,1335 
1999-Nov-15,1342 
1999-Nov-16,1346 
1999-Nov-17,1349 
1999-Nov-18,1350 
1999-Nov-19,1354 
1999-Nov-22,1356 
1999-Nov-23,1355 
1999-Nov-24,1354 
1999-Nov-25,1356 
1999-Nov-26,1355 
1999-Nov-29,1355 
1999-Nov-30,1351 
1999-Dec-01,1344 
1999-Dec-02,1342 
1999-Dec-03,1341 
1999-Dec-06,1341 
1999-Dec-07,1344 
1999-Dec-08,1349 
1999-Dec-09,1356 
1999-Dec-10,1360 
1999-Dec-13,1360 
1999-Dec-14,1358 
1999-Dec-15,1353 
1999-Dec-16,1349 
1999-Dec-17,1343 
1999-Dec-20,1334 
1999-Dec-21,1329 
1999-Dec-22,1324 
1999-Dec-23,1320 
1999-Dec-24,1319 
2000-Jan-04,1320 
2000-Jan-05,1329 
2000-Jan-06,1351 
2000-Jan-07,1368 
2000-Jan-10,1376 
2000-Jan-11,1388 
2000-Jan-12,1396 
2000-Jan-13,1403 
2000-Jan-14,1404 
2000-Jan-17,1406 
2000-Jan-18,1405 
2000-Jan-19,1400 
2000-Jan-20,1393 
2000-Jan-21,1384 
2000-Jan-24,1378 
2000-Jan-25,1368 
2000-Jan-26,1354 
2000-Jan-27,1340 
2000-Jan-28,1329 
2000-Jan-31,1319 
2000-Feb-01,1311 
2000-Feb-02,1296 
2000-Feb-03,1286 
2000-Feb-04,1280 
2000-Feb-07,1276 
2000-Feb-08,1277 
2000-Feb-09,1293 
2000-Feb-10,1317 
2000-Feb-11,1345 
2000-Feb-14,1365 
2000-Feb-15,1393 
2000-Feb-16,1419 
2000-Feb-17,1438 
2000-Feb-18,1454 
2000-Feb-21,1466 
2000-Feb-22,1481 
2000-Feb-23,1491 
2000-Feb-24,1501 
2000-Feb-25,1511 
2000-Feb-28,1521 
2000-Feb-29,1531 
2000-Mar-01,1547 
2000-Mar-02,1561 
2000-Mar-03,1578 
2000-Mar-06,1588 
2000-Mar-07,1602 
2000-Mar-08,1618 
2000-Mar-09,1634 
2000-Mar-10,1645 
2000-Mar-13,1649 
2000-Mar-14,1645 
2000-Mar-15,1640 
2000-Mar-16,1633 
2000-Mar-17,1630 
2000-Mar-20,1628 
2000-Mar-21,1624 
2000-Mar-22,1620 
2000-Mar-23,1617 
2000-Mar-24,1618 
2000-Mar-27,1623 
2000-Mar-28,1627 
2000-Mar-29,1638 
2000-Mar-30,1651 
2000-Mar-31,1660 
2000-Apr-03,1669 
2000-Apr-04,1676 
2000-Apr-05,1679 
2000-Apr-06,1682 
2000-Apr-07,1684 
2000-Apr-10,1686 
2000-Apr-11,1684 
2000-Apr-12,1681 
2000-Apr-13,1679 
2000-Apr-14,1676 
2000-Apr-17,1674 
2000-Apr-18,1670 
2000-Apr-19,1661 
2000-Apr-20,1656 
2000-Apr-25,1647 
2000-Apr-26,1641 
2000-Apr-27,1635 
2000-Apr-28,1628 
2000-May-02,1622 
2000-May-03,1615 
2000-May-04,1609 
2000-May-05,1609 
2000-May-08,1607 
2000-May-09,1609 
2000-May-10,1611 
2000-May-11,1614 
2000-May-12,1616 
2000-May-15,1615 
2000-May-16,1612 
2000-May-17,1610 
2000-May-18,1609 
2000-May-19,1607 
2000-May-22,1606 
2000-May-23,1598 
2000-May-24,1589 
2000-May-25,1582 
2000-May-26,1576 
2000-May-30,1569 
2000-May-31,1566 
2000-Jun-01,1562 
2000-Jun-02,1562 
2000-Jun-05,1561 
2000-Jun-06,1559 
2000-Jun-07,1559 
2000-Jun-08,1562 
2000-Jun-09,1564 
2000-Jun-12,1566 
2000-Jun-13,1569 
2000-Jun-14,1570 
2000-Jun-15,1577 
2000-Jun-16,1586 
2000-Jun-19,1592 
2000-Jun-20,1599 
2000-Jun-21,1612 
2000-Jun-22,1620 
2000-Jun-23,1624 
2000-Jun-26,1626 
2000-Jun-27,1625 
2000-Jun-28,1621 
2000-Jun-29,1618 
2000-Jun-30,1616 
2000-Jul-03,1613 
2000-Jul-04,1610 
2000-Jul-05,1607 
2000-Jul-06,1603 
2000-Jul-07,1601 
2000-Jul-10,1600 
2000-Jul-11,1601 
2000-Jul-12,1604 
2000-Jul-13,1609 
2000-Jul-14,1616 
2000-Jul-17,1621 
2000-Jul-18,1626 
2000-Jul-19,1628 
2000-Jul-20,1629 
2000-Jul-21,1628 
2000-Jul-24,1629 
2000-Jul-25,1629 
2000-Jul-26,1628 
2000-Jul-27,1628 
2000-Jul-28,1634 
2000-Jul-31,1642 
2000-Aug-01,1645 
2000-Aug-02,1646 
2000-Aug-03,1648 
2000-Aug-04,1650 
2000-Aug-07,1651 
2000-Aug-08,1647 
2000-Aug-09,1642 
2000-Aug-10,1641 
2000-Aug-11,1640 
2000-Aug-14,1637 
2000-Aug-15,1634 
2000-Aug-16,1632 
2000-Aug-17,1631 
2000-Aug-18,1629 
2000-Aug-21,1628 
2000-Aug-22,1627 
2000-Aug-23,1629 
2000-Aug-24,1633 
2000-Aug-25,1638 
2000-Aug-29,1641 
2000-Aug-30,1645 
2000-Aug-31,1652 
2000-Sep-01,1661 
2000-Sep-04,1666 
2000-Sep-05,1671 
2000-Sep-06,1676 
2000-Sep-07,1689 
2000-Sep-08,1696 
2000-Sep-11,1701 
2000-Sep-12,1705 
2000-Sep-13,1708 
2000-Sep-14,1711 
2000-Sep-15,1714 
2000-Sep-18,1719 
2000-Sep-19,1725 
2000-Sep-20,1732 
2000-Sep-21,1737 
2000-Sep-22,1738 
2000-Sep-25,1740 
2000-Sep-26,1739 
2000-Sep-27,1738 
2000-Sep-28,1737 
2000-Sep-29,1739 
2000-Oct-02,1735 
2000-Oct-03,1729 
2000-Oct-04,1726 
2000-Oct-05,1721 
2000-Oct-06,1720 
2000-Oct-09,1719 
2000-Oct-10,1719 
2000-Oct-11,1718 
2000-Oct-12,1718 
2000-Oct-13,1721 
2000-Oct-16,1724 
2000-Oct-17,1727 
2000-Oct-18,1732 
2000-Oct-19,1736 
2000-Oct-20,1740 
2000-Oct-23,1744 
2000-Oct-24,1748 
2000-Oct-25,1751 
2000-Oct-26,1754 
2000-Oct-27,1756 
2000-Oct-30,1758 
2000-Oct-31,1759 
2000-Nov-01,1759 
2000-Nov-02,1761 
2000-Nov-03,1762 
2000-Nov-06,1761 
2000-Nov-07,1759 
2000-Nov-08,1759 
2000-Nov-09,1752 
2000-Nov-10,1747 
2000-Nov-13,1742 
2000-Nov-14,1732 
2000-Nov-15,1723 
2000-Nov-16,1716 
2000-Nov-17,1711 
2000-Nov-20,1708 
2000-Nov-21,1701 
2000-Nov-22,1696 
2000-Nov-23,1693 
2000-Nov-24,1691 
2000-Nov-27,1688 
2000-Nov-28,1683 
2000-Nov-29,1678 
2000-Nov-30,1672 
2000-Dec-01,1664 
2000-Dec-04,1657 
2000-Dec-05,1647 
2000-Dec-06,1639 
2000-Dec-07,1633 
2000-Dec-08,1621 
2000-Dec-11,1614 
2000-Dec-12,1598 
2000-Dec-13,1587 
2000-Dec-14,1581 
2000-Dec-15,1582 
2000-Dec-18,1584 
2000-Dec-19,1588 
2000-Dec-20,1592 
2000-Dec-21,1596 
2000-Dec-22,1598 
2000-Dec-27,1600 
2000-Dec-28,1598 
2000-Dec-29,1599 
2001-Jan-02,1599 
2001-Jan-03,1596 
2001-Jan-04,1594 
2001-Jan-05,1591 
2001-Jan-08,1591 
2001-Jan-09,1593 
2001-Jan-10,1592 
2001-Jan-11,1587 
2001-Jan-12,1582 
2001-Jan-15,1581 
2001-Jan-16,1579 
2001-Jan-17,1573 
2001-Jan-18,1567 
2001-Jan-19,1566 
2001-Jan-22,1559 
2001-Jan-23,1552 
2001-Jan-24,1543 
2001-Jan-25,1537 
2001-Jan-26,1528 
2001-Jan-29,1523 
2001-Jan-30,1514 
2001-Jan-31,1504 
2001-Feb-01,1493 
2001-Feb-02,1488 
2001-Feb-05,1480 
2001-Feb-06,1472 
2001-Feb-07,1461 
2001-Feb-08,1455 
2001-Feb-09,1449 
2001-Feb-12,1445 
2001-Feb-13,1445 
2001-Feb-14,1446 
2001-Feb-15,1453 
2001-Feb-16,1461 
2001-Feb-19,1469 
2001-Feb-20,1477 
2001-Feb-21,1488 
2001-Feb-22,1501 
2001-Feb-23,1510 
2001-Feb-26,1522 
2001-Feb-27,1531 
2001-Feb-28,1537 
2001-Mar-01,1538 
2001-Mar-02,1537 
2001-Mar-05,1537 
2001-Mar-06,1527 
2001-Mar-07,1520 
2001-Mar-08,1511 
2001-Mar-09,1500 
2001-Mar-12,1496 
2001-Mar-13,1493 
2001-Mar-14,1497 
2001-Mar-15,1502 
2001-Mar-16,1506 
2001-Mar-19,1508 
2001-Mar-20,1508 
2001-Mar-21,1508 
