EG1,EG2,EG3,EG4,EG5,EG6,EG7,EG8,EG9,EG10,EG11,EG12,EG13,EG14,EG15,EG16,EG17,EG18,EG19,EG20,HUM,TMP,WD,WS
583.44,6736.08,5728.32,1272.96,1272.96,583.44,6736.08,5728.32,1272.96,1272.96,437.58,5052.06,4296.24,954.72,954.72,437.58,5052.06,4296.24,954.72,954.72,68,23.7,0.8829476,0.7
875.16,10104.12,8592.48,1909.44,1909.44,1151.92,13299.44,11309.76,2513.28,2513.28,437.58,5052.06,4296.24,954.72,954.72,583.44,6736.08,5728.32,1272.96,1272.96,34,3.5,0.190809,3.5
729.3,8420.1,7160.4,1591.2,1591.2,1092.08,12608.56,10722.24,2382.72,2382.72,0,0,0,0,0,437.58,5052.06,4296.24,954.72,954.72,58,11.9,0.7547096,0.6
875.16,10104.12,8592.48,1909.44,1909.44,1600.72,18481.04,15716.16,3492.48,3492.48,437.58,5052.06,4296.24,954.72,954.72,291.72,3368.04,2864.16,636.48,636.48,25,7,0.2756374,1.9
1237.94,14292.58,12154.32,2700.96,2700.96,1806.42,20855.94,17735.76,3941.28,3941.28,291.72,3368.04,2864.16,636.48,636.48,1301.52,15026.64,12778.56,2839.68,2839.68,66,13.7,-0.1736482,0.4
875.16,10104.12,8592.48,1909.44,1909.44,1092.08,12608.56,10722.24,2382.72,2382.72,291.72,3368.04,2864.16,636.48,636.48,583.44,6736.08,5728.32,1272.96,1272.96,33,7.1,0.2923717,2.8
800.36,9240.52,7858.08,1746.24,1746.24,1237.94,14292.58,12154.32,2700.96,2700.96,0,0,0,0,0,0,0,0,0,0,40,9.1,0.7986355,1.7
1159.4,13385.8,11383.2,2529.6,2529.6,583.44,6736.08,5728.32,1272.96,1272.96,575.96,6649.72,5654.88,1256.64,1256.64,583.44,6736.08,5728.32,1272.96,1272.96,38,8.3,0.9945219,0.8
1383.8,15976.6,13586.4,3019.2,3019.2,1021.02,11788.14,10024.56,2227.68,2227.68,145.86,1684.02,1432.08,318.24,318.24,583.44,6736.08,5728.32,1272.96,1272.96,17,2.5,0.809017,1.3
1301.52,15026.64,12778.56,2839.68,2839.68,1159.4,13385.8,11383.2,2529.6,2529.6,0,0,0,0,0,583.44,6736.08,5728.32,1272.96,1272.96,52,10.1,-0.2079117,1.3
729.3,8420.1,7160.4,1591.2,1591.2,1589.5,18351.5,15606,3468,3468,0,0,0,0,0,145.86,1684.02,1432.08,318.24,318.24,82,22.8,0.5299193,1.4
1021.02,11788.14,10024.56,2227.68,2227.68,729.3,8420.1,7160.4,1591.2,1591.2,1006.06,11615.42,9877.68,2195.04,2195.04,437.58,5052.06,4296.24,954.72,954.72,27,-0.2,0.3583679,2.5
729.3,8420.1,7160.4,1591.2,1591.2,1155.66,13342.62,11346.48,2521.44,2521.44,654.5,7556.5,6426,1428,1428,871.42,10060.94,8555.76,1901.28,1901.28,13,10.7,-0.1391731,1.4
