,0 ,1 ,2 ,3 ,4 ,5 ,6 ,7 ,8 ,9 ,10 ,11 ,12 ,13 ,14 ,15 ,16 ,17 ,18 ,19 ,20 ,21 ,22 ,23 ,24 ,25 ,26 ,27 ,28 ,29 ,30 ,31 ,32 ,33 ,34 ,35 ,36 ,37 ,38 ,39 ,40 ,41 ,42 ,43 ,44 ,45 ,46 ,47 ,48 ,49 ,50 ,51 ,52 ,53 ,54 ,55 ,56 ,57 ,58 ,59 ,60 ,61 ,62 ,63 ,64 ,65 ,66 ,67 ,68 ,69 ,70 ,71 ,72 ,73 ,74 ,75 ,76 ,77 ,78 ,79 ,80 ,81 ,82 ,83 ,84 ,85 ,86 ,87 ,88 ,89 ,90 ,91 ,92 ,93 ,94 ,95 ,96 ,97 ,98 ,99 
삼성전자,48600 ,49600 ,48700 ,47000 ,46800 ,45800 ,47750 ,47850 ,48300 ,47800 ,48650 ,46950 ,42500 ,45400 ,42950 ,45600 ,47300 ,48900 ,49950 ,50800 ,52100 ,54600 ,54200 ,56500 ,57800 ,57400 ,55400 ,55000 ,54200 ,55900 ,56500 ,57900 ,56800 ,59200 ,60000 ,60200 ,59800 ,61500 ,61800 ,60700 ,60500 ,59900 ,59700 ,60400 ,61100 ,59500 ,58900 ,57200 ,56400 ,57200 ,59100 ,58800 ,60800 ,62300 ,61400 ,62400 ,61300 ,60700 ,59000 ,60000 ,60000 ,59500 ,58600 ,56800 ,55800 ,55500 ,55500 ,55200 ,55800 ,56500 ,55400 ,55000 ,55500 ,56000 ,56000 ,56300 ,56700 ,54700 ,54700 ,53300 ,51900 ,51500 ,51200 ,50400 ,49500 ,49450 ,49900 ,50400 ,50300 ,51300 ,52200 ,51800 ,51800 ,51600 ,51000 ,52000 ,53500 ,53500 ,53700 ,52800 
삼성SDI,250000 ,245000 ,240000 ,231500 ,233000 ,231000 ,240500 ,244500 ,248000 ,248000 ,257500 ,246500 ,218500 ,216500 ,183000 ,221500 ,246000 ,253000 ,277500 ,280000 ,289000 ,293500 ,295000 ,316500 ,323500 ,315000 ,308000 ,304500 ,295000 ,309500 ,312000 ,321000 ,321000 ,336500 ,343500 ,334000 ,334000 ,338000 ,337000 ,336500 ,338000 ,343000 ,321500 ,317000 ,318500 ,314000 ,308000 ,284000 ,276000 ,287000 ,287000 ,285000 ,283500 ,286000 ,275500 ,275500 ,269500 ,268500 ,267500 ,265500 ,259000 ,249000 ,232500 ,229000 ,231500 ,230000 ,229000 ,232000 ,236000 ,233000 ,222500 ,225000 ,228000 ,228500 ,228500 ,227000 ,234500 ,233500 ,229500 ,228500 ,227500 ,226500 ,223000 ,225500 ,222000 ,224000 ,237000 ,234000 ,231000 ,233000 ,236000 ,239000 ,238000 ,235500 ,234500 ,236000 ,242500 ,240500 ,238000 ,236500 
SKC,41550 ,39450 ,38900 ,36900 ,37400 ,37600 ,37200 ,38500 ,38500 ,37550 ,36450 ,33700 ,30250 ,32100 ,28050 ,34700 ,39300 ,39750 ,43250 ,45850 ,48850 ,50300 ,50200 ,53500 ,54400 ,54400 ,52500 ,52400 ,51400 ,53700 ,55300 ,56400 ,54400 ,55500 ,57500 ,55800 ,56200 ,55900 ,57000 ,56000 ,56200 ,58900 ,55900 ,56400 ,57300 ,58900 ,58000 ,53900 ,52100 ,53700 ,52300 ,53400 ,54500 ,54600 ,52100 ,51400 ,50600 ,51600 ,51300 ,52300 ,52300 ,51200 ,51800 ,51300 ,52200 ,50700 ,49850 ,50600 ,51000 ,50500 ,49750 ,49900 ,49300 ,49250 ,48200 ,47400 ,48800 ,47450 ,47100 ,46250 ,45700 ,45350 ,44850 ,45350 ,46150 ,46100 ,47650 ,48500 ,47450 ,46050 ,46300 ,45950 ,46450 ,46050 ,45100 ,45050 ,45800 ,44950 ,45250 ,45450 
현대백화점,63100 ,62900 ,62000 ,58000 ,57200 ,56300 ,58800 ,56900 ,56800 ,58400 ,57900 ,55400 ,53000 ,60800 ,60300 ,64700 ,66800 ,64800 ,62500 ,67300 ,69800 ,70800 ,69100 ,70800 ,73300 ,71500 ,70000 ,70000 ,70900 ,71300 ,70800 ,70200 ,68800 ,72500 ,74500 ,78600 ,78500 ,80000 ,79200 ,81100 ,82000 ,79900 ,80200 ,81400 ,81200 ,77600 ,78300 ,78200 ,78000 ,79200 ,79300 ,78200 ,87500 ,88600 ,84600 ,86500 ,88400 ,89000 ,89800 ,89900 ,90000 ,87700 ,87700 ,87300 ,88900 ,84000 ,85600 ,85900 ,83100 ,81700 ,81800 ,81700 ,82400 ,82500 ,82800 ,82500 ,82600 ,82500 ,83700 ,84000 ,82600 ,82300 ,83600 ,82000 ,81400 ,80500 ,81900 ,82000 ,83200 ,84000 ,81400 ,82500 ,82500 ,79600 ,76900 ,78500 ,79400 ,78900 ,78700 ,78800 
한전KPS,32150 ,32950 ,31300 ,30050 ,29850 ,28400 ,29050 ,29500 ,30000 ,28700 ,27350 ,25850 ,24750 ,26900 ,26500 ,28350 ,28850 ,29550 ,29800 ,30550 ,32150 ,32300 ,32500 ,33200 ,34150 ,33850 ,33600 ,33900 ,33250 ,33400 ,33900 ,33950 ,34200 ,35450 ,36600 ,37200 ,36300 ,36350 ,36150 ,36500 ,36800 ,37450 ,37250 ,37700 ,37400 ,36700 ,36600 ,37000 ,37550 ,37700 ,39550 ,39300 ,40700 ,39650 ,38850 ,38500 ,38700 ,39250 ,39200 ,38600 ,37350 ,37500 ,37600 ,37400 ,38100 ,37900 ,38600 ,38550 ,39150 ,39250 ,40250 ,40750 ,40700 ,40450 ,40800 ,40800 ,39250 ,38250 ,38200 ,38700 ,38500 ,38750 ,38100 ,37050 ,36150 ,36150 ,35650 ,35400 ,35550 ,35750 ,35700 ,35800 ,36500 ,36650 ,35800 ,35600 ,35650 ,35400 ,35000 ,33700 
효성,65200 ,65700 ,64300 ,62900 ,62300 ,60000 ,61100 ,61300 ,60200 ,59800 ,60400 ,55000 ,51200 ,57100 ,49750 ,59600 ,64900 ,65300 ,65900 ,65800 ,67800 ,69400 ,70000 ,70800 ,71700 ,70500 ,68900 ,68900 ,69300 ,70600 ,70400 ,70300 ,69100 ,71200 ,72600 ,74100 ,75100 ,75400 ,74900 ,75400 ,75300 ,75400 ,75200 ,74800 ,74300 ,69900 ,70200 ,70100 ,71200 ,71800 ,71800 ,71100 ,72800 ,73500 ,73700 ,73300 ,73700 ,73600 ,73300 ,73800 ,74200 ,74400 ,74300 ,74000 ,76400 ,75700 ,76200 ,76300 ,79100 ,79600 ,84300 ,83800 ,82600 ,81600 ,81900 ,81300 ,81900 ,81900 ,81700 ,81600 ,81700 ,79700 ,78500 ,79300 ,79700 ,79400 ,79500 ,80000 ,79400 ,79500 ,79500 ,80000 ,79600 ,78400 ,79000 ,80400 ,81500 ,81000 ,81600 ,81500 
신세계인터내셔날,197000 ,187500 ,185000 ,178000 ,182000 ,183000 ,187500 ,186000 ,195000 ,196500 ,198000 ,187500 ,178500 ,200500 ,198500 ,205000 ,203500 ,200500 ,194500 ,191500 ,200500 ,201500 ,204500 ,205500 ,205000 ,190500 ,181500 ,184500 ,183500 ,191500 ,193000 ,195500 ,187500 ,197500 ,201000 ,203500 ,208500 ,213000 ,209500 ,214500 ,216000 ,209500 ,205500 ,208500 ,209000 ,202000 ,213000 ,211500 ,205000 ,211000 ,213500 ,209000 ,241000 ,255000 ,249500 ,252500 ,261000 ,261000 ,260000 ,256500 ,262500 ,251000 ,246000 ,243500 ,246500 ,226500 ,227500 ,220000 ,219500 ,213000 ,209500 ,213500 ,219000 ,222000 ,227500 ,220500 ,222500 ,216500 ,215000 ,221000 ,230500 ,228000 ,215500 ,221500 ,208500 ,214000 ,213000 ,211500 ,212500 ,207500 ,199500 ,203000 ,200500 ,189500 ,189500 ,197000 ,203500 ,207500 ,213000 ,209000 
한샘,61500 ,59800 ,54400 ,52200 ,52700 ,51000 ,50300 ,51000 ,51400 ,51600 ,52200 ,49000 ,46850 ,53800 ,51400 ,61700 ,64400 ,58000 ,56300 ,58200 ,62500 ,64500 ,63300 ,65200 ,66700 ,65200 ,62800 ,63100 ,64000 ,65300 ,63700 ,64300 ,63100 ,66300 ,68300 ,69700 ,71400 ,72100 ,69300 ,71100 ,72200 ,74200 ,75300 ,77100 ,77100 ,75800 ,74400 ,71000 ,71300 ,71100 ,72700 ,71200 ,74100 ,74800 ,74100 ,76200 ,75700 ,76900 ,78600 ,75300 ,75400 ,72700 ,75100 ,75100 ,73800 ,69100 ,69400 ,66700 ,62200 ,62500 ,62800 ,62500 ,62800 ,62700 ,62300 ,62200 ,63600 ,64100 ,62700 ,60700 ,59900 ,60000 ,61300 ,61900 ,60000 ,60500 ,61700 ,63700 ,63700 ,62700 ,62600 ,63500 ,63800 ,60500 ,59900 ,60300 ,60400 ,61300 ,62900 ,62200 
한올바이오파마,23600 ,24000 ,23650 ,23150 ,21850 ,22600 ,23700 ,21950 ,21200 ,19900 ,18400 ,17700 ,15400 ,16600 ,14900 ,17700 ,19100 ,18500 ,19000 ,20700 ,22750 ,24700 ,24800 ,25900 ,26150 ,24950 ,25000 ,24100 ,23450 ,25150 ,24200 ,24300 ,22650 ,23900 ,24900 ,24650 ,24650 ,24950 ,25400 ,25550 ,26050 ,25950 ,26800 ,23150 ,27500 ,26450 ,26750 ,26050 ,25450 ,26250 ,26550 ,26900 ,26550 ,26700 ,25150 ,33800 ,33100 ,33850 ,36000 ,36200 ,37850 ,37500 ,34800 ,34550 ,35500 ,34750 ,36000 ,36450 ,36300 ,35050 ,33350 ,34050 ,35000 ,34100 ,34300 ,34500 ,34600 ,34650 ,35300 ,35100 ,35050 ,35400 ,34950 ,35400 ,35350 ,34000 ,34750 ,34750 ,33850 ,33250 ,33900 ,34000 ,33200 ,32600 ,32050 ,32200 ,32750 ,33000 ,32950 ,31950 
대우건설,3115 ,3020 ,2980 ,2885 ,2905 ,2760 ,2940 ,2805 ,2785 ,2790 ,2810 ,2485 ,2275 ,2530 ,2370 ,2795 ,3085 ,3270 ,3280 ,3520 ,3790 ,3860 ,3855 ,4120 ,4295 ,4035 ,4005 ,4025 ,4050 ,4155 ,4195 ,4150 ,4110 ,4305 ,4330 ,4410 ,4450 ,4475 ,4475 ,4585 ,4690 ,4725 ,4690 ,4720 ,4810 ,4425 ,4420 ,4340 ,4350 ,4375 ,4470 ,4495 ,4670 ,4775 ,4800 ,4650 ,4655 ,4690 ,4675 ,4525 ,4515 ,4385 ,4380 ,4205 ,4425 ,4500 ,4695 ,4660 ,4740 ,4695 ,4575 ,4590 ,4625 ,4625 ,4600 ,4600 ,4585 ,4715 ,4805 ,4830 ,4615 ,4570 ,4470 ,4435 ,4370 ,4385 ,4400 ,4405 ,4460 ,4570 ,4615 ,4645 ,4645 ,4595 ,4530 ,4625 ,4680 ,4720 ,4755 ,4655 
